TID,SDate,TName,SStationID,AStationID,STime,ATime
237,2020-01-25,C5005               ,1599,1621,2020-01-25 12:37:00,2020-01-25 14:05:00
238,2020-01-26,C5005               ,1599,1621,2020-01-26 12:37:00,2020-01-26 14:05:00
239,2020-01-27,C5005               ,1599,1621,2020-01-27 12:37:00,2020-01-27 14:05:00
240,2020-01-28,C5005               ,1599,1621,2020-01-28 12:37:00,2020-01-28 14:05:00
241,2020-01-29,C5005               ,1599,1621,2020-01-29 12:37:00,2020-01-29 14:05:00
242,2020-01-30,C5005               ,1599,1621,2020-01-30 12:37:00,2020-01-30 14:05:00
243,2020-01-31,C5005               ,1599,1621,2020-01-31 12:37:00,2020-01-31 14:05:00
244,2020-02-01,C5005               ,1599,1621,2020-02-01 12:37:00,2020-02-01 14:05:00
245,2020-02-02,C5005               ,1599,1621,2020-02-02 12:37:00,2020-02-02 14:05:00
246,2020-02-03,C5005               ,1599,1621,2020-02-03 12:37:00,2020-02-03 14:05:00
247,2020-02-04,C5005               ,1599,1621,2020-02-04 12:37:00,2020-02-04 14:05:00
248,2020-02-05,C5005               ,1599,1621,2020-02-05 12:37:00,2020-02-05 14:05:00
249,2020-02-06,C5005               ,1599,1621,2020-02-06 12:37:00,2020-02-06 14:05:00
250,2020-02-07,C5005               ,1599,1621,2020-02-07 12:37:00,2020-02-07 14:05:00
251,2020-02-08,C5005               ,1599,1621,2020-02-08 12:37:00,2020-02-08 14:05:00
252,2020-02-09,C5005               ,1599,1621,2020-02-09 12:37:00,2020-02-09 14:05:00
253,2020-02-10,C5005               ,1599,1621,2020-02-10 12:37:00,2020-02-10 14:05:00
254,2020-02-11,C5005               ,1599,1621,2020-02-11 12:37:00,2020-02-11 14:05:00
255,2020-02-12,C5005               ,1599,1621,2020-02-12 12:37:00,2020-02-12 14:05:00
256,2020-02-13,C5005               ,1599,1621,2020-02-13 12:37:00,2020-02-13 14:05:00
257,2020-02-14,C5005               ,1599,1621,2020-02-14 12:37:00,2020-02-14 14:05:00
258,2020-02-15,C5005               ,1599,1621,2020-02-15 12:37:00,2020-02-15 14:05:00
259,2020-02-16,C5005               ,1599,1621,2020-02-16 12:37:00,2020-02-16 14:05:00
260,2020-02-17,C5005               ,1599,1621,2020-02-17 12:37:00,2020-02-17 14:05:00
261,2020-02-18,C5005               ,1599,1621,2020-02-18 12:37:00,2020-02-18 14:05:00
262,2020-02-19,C5005               ,1599,1621,2020-02-19 12:37:00,2020-02-19 14:05:00
263,2020-02-20,C5005               ,1599,1621,2020-02-20 12:37:00,2020-02-20 14:05:00
264,2020-02-21,C5005               ,1599,1621,2020-02-21 12:37:00,2020-02-21 14:05:00
265,2020-02-22,C5005               ,1599,1621,2020-02-22 12:37:00,2020-02-22 14:05:00
266,2020-02-23,C5005               ,1599,1621,2020-02-23 12:37:00,2020-02-23 14:05:00
267,2020-02-24,C5005               ,1599,1621,2020-02-24 12:37:00,2020-02-24 14:05:00
268,2020-02-25,C5005               ,1599,1621,2020-02-25 12:37:00,2020-02-25 14:05:00
269,2020-02-26,C5005               ,1599,1621,2020-02-26 12:37:00,2020-02-26 14:05:00
270,2020-02-27,C5005               ,1599,1621,2020-02-27 12:37:00,2020-02-27 14:05:00
271,2020-02-28,C5005               ,1599,1621,2020-02-28 12:37:00,2020-02-28 14:05:00
272,2020-02-29,C5005               ,1599,1621,2020-02-29 12:37:00,2020-02-29 14:05:00
273,2020-03-01,C5005               ,1599,1621,2020-03-01 12:37:00,2020-03-01 14:05:00
274,2019-12-02,C5007               ,1599,1621,2019-12-02 15:42:00,2019-12-02 16:49:00
275,2019-12-03,C5007               ,1599,1621,2019-12-03 15:42:00,2019-12-03 16:49:00
276,2019-12-04,C5007               ,1599,1621,2019-12-04 15:42:00,2019-12-04 16:49:00
277,2019-12-05,C5007               ,1599,1621,2019-12-05 15:42:00,2019-12-05 16:49:00
278,2019-12-06,C5007               ,1599,1621,2019-12-06 15:42:00,2019-12-06 16:49:00
279,2019-12-07,C5007               ,1599,1621,2019-12-07 15:42:00,2019-12-07 16:49:00
280,2019-12-08,C5007               ,1599,1621,2019-12-08 15:42:00,2019-12-08 16:49:00
